timestamp,method,num_slices,num_vnfs_per_slice,seed,u,v,bw_used,bw_capacity,bw_utilization
2026-04-03 10:18:28,First Fit,8,2,1,4,2,15.0,500.0,0.03
2026-04-03 10:18:28,First Fit,8,2,1,8,11,45.0,1000.0,0.045
2026-04-03 10:18:28,Energy-Aware A*,8,2,1,3,1,120.0,250.0,0.48
2026-04-03 10:18:28,Energy-Aware A*,8,2,1,1,3,60.0,250.0,0.24
2026-04-03 10:18:28,Energy-Aware A*,8,2,1,10,11,15.0,500.0,0.03
2026-04-03 10:18:28,Energy-Aware A*,8,2,1,11,3,105.0,500.0,0.21
2026-04-03 10:18:28,Energy-Aware A*,8,2,1,3,11,45.0,500.0,0.09
2026-04-03 10:18:28,Energy-Aware A*,8,2,1,2,1,30.0,1000.0,0.03
2026-04-03 10:18:28,Energy-Aware A*,8,2,1,5,8,15.0,1000.0,0.015
2026-04-03 10:18:28,Energy-Aware A*,8,2,1,8,11,60.0,1000.0,0.06
2026-04-03 10:18:28,MILP_Gurobi,8,2,1,11,8,30.0,1000.0,0.03
2026-04-03 10:18:28,MILP_Gurobi,8,2,1,3,11,15.0,500.0,0.03
2026-04-03 10:18:28,MILP_Gurobi,8,2,1,10,11,15.0,500.0,0.03
2026-04-03 10:18:28,MILP_Gurobi,8,2,1,8,11,90.0,1000.0,0.09
2026-04-03 10:18:28,MILP_Gurobi,8,2,1,2,6,30.0,500.0,0.06
2026-04-03 10:18:28,MILP_Gurobi,8,2,1,6,5,30.0,500.0,0.06
2026-04-03 10:18:28,MILP_Gurobi,8,2,1,5,8,45.0,1000.0,0.045
2026-04-03 10:18:37,A*,16,2,1,3,1,15.0,250.0,0.06
2026-04-03 10:18:37,A*,16,2,1,10,11,15.0,500.0,0.03
2026-04-03 10:18:37,A*,16,2,1,2,6,15.0,500.0,0.03
2026-04-03 10:18:37,A*,16,2,1,5,6,15.0,500.0,0.03
2026-04-03 10:18:37,A*,16,2,1,2,1,30.0,1000.0,0.03
2026-04-03 10:18:37,A*,16,2,1,8,11,60.0,1000.0,0.06
2026-04-03 10:18:37,A*,16,2,1,11,10,15.0,500.0,0.03
2026-04-03 10:18:37,A*,16,2,1,7,6,45.0,500.0,0.09
2026-04-03 10:18:37,A*,16,2,1,4,3,15.0,500.0,0.03
2026-04-03 10:18:37,A*,16,2,1,1,3,15.0,250.0,0.06
2026-04-03 10:18:37,ABO,16,2,1,3,11,15.0,500.0,0.03
2026-04-03 10:18:37,ABO,16,2,1,11,8,30.0,1000.0,0.03
2026-04-03 10:18:37,ABO,16,2,1,10,7,15.0,1000.0,0.015
2026-04-03 10:18:37,ABO,16,2,1,2,6,45.0,500.0,0.09
2026-04-03 10:18:37,ABO,16,2,1,6,7,45.0,500.0,0.09
2026-04-03 10:18:37,ABO,16,2,1,5,8,30.0,1000.0,0.03
2026-04-03 10:18:37,ABO,16,2,1,2,4,30.0,500.0,0.06
2026-04-03 10:18:37,ABO,16,2,1,4,5,30.0,500.0,0.06
2026-04-03 10:18:37,ABO,16,2,1,8,9,45.0,1000.0,0.045
2026-04-03 10:18:37,ABO,16,2,1,8,11,15.0,1000.0,0.015
2026-04-03 10:18:37,ABO,16,2,1,8,5,15.0,1000.0,0.015
2026-04-03 10:18:37,ABO,16,2,1,7,9,30.0,1000.0,0.03
2026-04-03 10:18:37,ABO,16,2,1,4,2,15.0,500.0,0.03
2026-04-03 10:18:37,ABO,16,2,1,7,10,30.0,1000.0,0.03
2026-04-03 10:18:37,ABO,16,2,1,1,2,15.0,1000.0,0.015
2026-04-03 10:18:37,FABO,16,2,1,3,11,15.0,500.0,0.03
2026-04-03 10:18:37,FABO,16,2,1,10,7,15.0,1000.0,0.015
2026-04-03 10:18:37,FABO,16,2,1,7,6,15.0,500.0,0.03
2026-04-03 10:18:37,FABO,16,2,1,2,1,15.0,1000.0,0.015
2026-04-03 10:18:37,FABO,16,2,1,5,8,15.0,1000.0,0.015
2026-04-03 10:18:37,FABO,16,2,1,1,2,45.0,1000.0,0.045
2026-04-03 10:18:37,FABO,16,2,1,2,6,30.0,500.0,0.06
2026-04-03 10:18:37,FABO,16,2,1,9,7,15.0,1000.0,0.015
2026-04-03 10:18:37,FABO,16,2,1,4,2,15.0,500.0,0.03
2026-04-03 10:18:37,FABO,16,2,1,10,12,30.0,1000.0,0.03
2026-04-03 10:18:37,FABO,16,2,1,11,8,30.0,1000.0,0.03
2026-04-03 10:18:37,FABO,16,2,1,8,5,15.0,1000.0,0.015
2026-04-03 10:18:37,FABO,16,2,1,7,9,15.0,1000.0,0.015
2026-04-03 10:18:37,FABO,16,2,1,9,8,15.0,1000.0,0.015
2026-04-03 10:18:37,FABO,16,2,1,4,3,15.0,500.0,0.03
2026-04-03 10:18:37,FABO,16,2,1,8,9,15.0,1000.0,0.015
2026-04-03 10:18:37,FABO,16,2,1,5,6,15.0,500.0,0.03
2026-04-03 10:18:37,Best Fit,16,2,1,3,4,165.0,500.0,0.33
2026-04-03 10:18:37,Best Fit,16,2,1,10,11,60.0,500.0,0.12
2026-04-03 10:18:37,Best Fit,16,2,1,11,3,135.0,500.0,0.27
2026-04-03 10:18:37,Best Fit,16,2,1,2,4,45.0,500.0,0.09
2026-04-03 10:18:37,Best Fit,16,2,1,4,3,75.0,500.0,0.15
2026-04-03 10:18:37,Best Fit,16,2,1,5,4,15.0,500.0,0.03
2026-04-03 10:18:37,Best Fit,16,2,1,8,11,60.0,1000.0,0.06
2026-04-03 10:18:37,Best Fit,16,2,1,7,10,45.0,1000.0,0.045
2026-04-03 10:18:37,Best Fit,16,2,1,1,3,15.0,250.0,0.06
2026-04-03 10:18:37,First Fit,16,2,1,3,1,105.0,250.0,0.42
2026-04-03 10:18:37,First Fit,16,2,1,1,2,240.0,1000.0,0.24
2026-04-03 10:18:37,First Fit,16,2,1,10,11,15.0,500.0,0.03
2026-04-03 10:18:37,First Fit,16,2,1,11,3,90.0,500.0,0.18
2026-04-03 10:18:37,First Fit,16,2,1,2,1,120.0,1000.0,0.12
2026-04-03 10:18:37,First Fit,16,2,1,5,4,15.0,500.0,0.03
2026-04-03 10:18:37,First Fit,16,2,1,4,2,30.0,500.0,0.06
2026-04-03 10:18:37,First Fit,16,2,1,8,11,60.0,1000.0,0.06
2026-04-03 10:18:37,First Fit,16,2,1,7,6,45.0,500.0,0.09
2026-04-03 10:18:37,First Fit,16,2,1,6,2,45.0,500.0,0.09
2026-04-03 10:18:37,Energy-Aware A*,16,2,1,3,1,165.0,250.0,0.66
2026-04-03 10:18:37,Energy-Aware A*,16,2,1,1,3,75.0,250.0,0.3
2026-04-03 10:18:37,Energy-Aware A*,16,2,1,10,11,15.0,500.0,0.03
2026-04-03 10:18:37,Energy-Aware A*,16,2,1,11,3,165.0,500.0,0.33
2026-04-03 10:18:37,Energy-Aware A*,16,2,1,3,11,75.0,500.0,0.15
2026-04-03 10:18:37,Energy-Aware A*,16,2,1,2,1,45.0,1000.0,0.045
2026-04-03 10:18:37,Energy-Aware A*,16,2,1,5,8,15.0,1000.0,0.015
2026-04-03 10:18:37,Energy-Aware A*,16,2,1,8,11,120.0,1000.0,0.12
2026-04-03 10:18:37,Energy-Aware A*,16,2,1,7,8,45.0,500.0,0.09
2026-04-03 10:18:37,Energy-Aware A*,16,2,1,4,3,15.0,500.0,0.03
2026-04-03 10:18:37,Energy-Aware A*,16,2,1,11,10,15.0,500.0,0.03
2026-04-03 10:18:37,Energy-Aware A*,16,2,1,3,4,15.0,500.0,0.03
2026-04-03 10:18:37,Energy-Aware A*,16,2,1,1,2,15.0,1000.0,0.015
2026-04-03 10:18:37,Energy-Aware A*,16,2,1,11,8,30.0,1000.0,0.03
2026-04-03 10:18:37,Energy-Aware A*,16,2,1,8,5,15.0,1000.0,0.015
2026-04-03 10:18:37,Energy-Aware A*,16,2,1,8,7,15.0,500.0,0.03
2026-04-03 10:18:37,MILP_Gurobi,16,2,1,11,8,45.0,1000.0,0.045
2026-04-03 10:18:37,MILP_Gurobi,16,2,1,3,11,15.0,500.0,0.03
2026-04-03 10:18:37,MILP_Gurobi,16,2,1,10,11,15.0,500.0,0.03
2026-04-03 10:18:37,MILP_Gurobi,16,2,1,8,11,195.0,1000.0,0.195
2026-04-03 10:18:37,MILP_Gurobi,16,2,1,2,4,60.0,500.0,0.12
2026-04-03 10:18:37,MILP_Gurobi,16,2,1,4,5,75.0,500.0,0.15
2026-04-03 10:18:37,MILP_Gurobi,16,2,1,5,8,90.0,1000.0,0.09
2026-04-03 10:18:37,MILP_Gurobi,16,2,1,7,8,45.0,500.0,0.09
2026-04-03 10:18:37,MILP_Gurobi,16,2,1,1,2,15.0,1000.0,0.015
2026-04-03 10:19:07,A*,32,2,1,3,1,15.0,250.0,0.06
2026-04-03 10:19:07,A*,32,2,1,10,11,45.0,500.0,0.09
2026-04-03 10:19:07,A*,32,2,1,2,6,15.0,500.0,0.03
2026-04-03 10:19:07,A*,32,2,1,5,6,30.0,500.0,0.06
2026-04-03 10:19:07,A*,32,2,1,2,1,45.0,1000.0,0.045
2026-04-03 10:19:07,A*,32,2,1,8,11,75.0,1000.0,0.075
2026-04-03 10:19:07,A*,32,2,1,11,10,30.0,500.0,0.06
2026-04-03 10:19:07,A*,32,2,1,7,6,45.0,500.0,0.09
2026-04-03 10:19:07,A*,32,2,1,4,3,15.0,500.0,0.03
2026-04-03 10:19:07,A*,32,2,1,1,3,45.0,250.0,0.18
2026-04-03 10:19:07,A*,32,2,1,1,2,45.0,1000.0,0.045
2026-04-03 10:19:07,A*,32,2,1,12,10,15.0,1000.0,0.015
2026-04-03 10:19:07,A*,32,2,1,12,3,15.0,500.0,0.03
2026-04-03 10:19:07,A*,32,2,1,4,5,15.0,500.0,0.03
2026-04-03 10:19:07,A*,32,2,1,6,5,15.0,500.0,0.03
2026-04-03 10:19:07,A*,32,2,1,9,7,15.0,1000.0,0.015
2026-04-03 10:19:07,ABO,32,2,1,3,11,15.0,500.0,0.03
2026-04-03 10:19:07,ABO,32,2,1,11,8,45.0,1000.0,0.045
2026-04-03 10:19:07,ABO,32,2,1,10,7,90.0,1000.0,0.09
2026-04-03 10:19:07,ABO,32,2,1,2,6,90.0,500.0,0.18
2026-04-03 10:19:07,ABO,32,2,1,6,7,90.0,500.0,0.18
2026-04-03 10:19:07,ABO,32,2,1,5,8,105.0,1000.0,0.105
2026-04-03 10:19:07,ABO,32,2,1,2,4,75.0,500.0,0.15
2026-04-03 10:19:07,ABO,32,2,1,4,5,75.0,500.0,0.15
2026-04-03 10:19:07,ABO,32,2,1,8,9,60.0,1000.0,0.06
2026-04-03 10:19:07,ABO,32,2,1,8,11,15.0,1000.0,0.015
2026-04-03 10:19:07,ABO,32,2,1,8,5,15.0,1000.0,0.015
2026-04-03 10:19:07,ABO,32,2,1,7,9,60.0,1000.0,0.06
2026-04-03 10:19:07,ABO,32,2,1,4,2,15.0,500.0,0.03
2026-04-03 10:19:07,ABO,32,2,1,7,10,30.0,1000.0,0.03
2026-04-03 10:19:07,ABO,32,2,1,1,2,90.0,1000.0,0.09
2026-04-03 10:19:07,ABO,32,2,1,12,10,45.0,1000.0,0.045
2026-04-03 10:19:07,ABO,32,2,1,4,3,15.0,500.0,0.03
2026-04-03 10:19:07,ABO,32,2,1,3,12,15.0,500.0,0.03
2026-04-03 10:19:07,ABO,32,2,1,6,5,15.0,500.0,0.03
2026-04-03 10:19:07,ABO,32,2,1,9,8,15.0,1000.0,0.015
2026-04-03 10:19:07,FABO,32,2,1,3,11,30.0,500.0,0.06
2026-04-03 10:19:07,FABO,32,2,1,10,7,15.0,1000.0,0.015
2026-04-03 10:19:07,FABO,32,2,1,7,6,30.0,500.0,0.06
2026-04-03 10:19:07,FABO,32,2,1,2,1,15.0,1000.0,0.015
2026-04-03 10:19:07,FABO,32,2,1,5,8,30.0,1000.0,0.03
2026-04-03 10:19:07,FABO,32,2,1,1,2,120.0,1000.0,0.12
2026-04-03 10:19:07,FABO,32,2,1,2,6,60.0,500.0,0.12
2026-04-03 10:19:07,FABO,32,2,1,9,7,15.0,1000.0,0.015
2026-04-03 10:19:07,FABO,32,2,1,4,2,15.0,500.0,0.03
2026-04-03 10:19:07,FABO,32,2,1,10,12,45.0,1000.0,0.045
2026-04-03 10:19:07,FABO,32,2,1,11,8,45.0,1000.0,0.045
2026-04-03 10:19:07,FABO,32,2,1,8,5,15.0,1000.0,0.015
2026-04-03 10:19:07,FABO,32,2,1,7,9,30.0,1000.0,0.03
2026-04-03 10:19:07,FABO,32,2,1,9,8,15.0,1000.0,0.015
2026-04-03 10:19:07,FABO,32,2,1,4,3,45.0,500.0,0.09
2026-04-03 10:19:07,FABO,32,2,1,8,9,30.0,1000.0,0.03
2026-04-03 10:19:07,FABO,32,2,1,5,6,15.0,500.0,0.03
2026-04-03 10:19:07,FABO,32,2,1,2,4,45.0,500.0,0.09
2026-04-03 10:19:07,FABO,32,2,1,8,11,15.0,1000.0,0.015
2026-04-03 10:19:07,FABO,32,2,1,6,2,30.0,500.0,0.06
2026-04-03 10:19:07,FABO,32,2,1,12,10,15.0,1000.0,0.015
2026-04-03 10:19:07,Best Fit,32,2,1,3,4,165.0,500.0,0.33
2026-04-03 10:19:07,Best Fit,32,2,1,10,11,60.0,500.0,0.12
2026-04-03 10:19:07,Best Fit,32,2,1,11,3,135.0,500.0,0.27
2026-04-03 10:19:07,Best Fit,32,2,1,2,4,45.0,500.0,0.09
2026-04-03 10:19:07,Best Fit,32,2,1,4,3,75.0,500.0,0.15
2026-04-03 10:19:07,Best Fit,32,2,1,5,4,15.0,500.0,0.03
2026-04-03 10:19:07,Best Fit,32,2,1,8,11,60.0,1000.0,0.06
2026-04-03 10:19:07,Best Fit,32,2,1,7,10,210.0,1000.0,0.21
2026-04-03 10:19:07,Best Fit,32,2,1,1,3,15.0,250.0,0.06
2026-04-03 10:19:07,Best Fit,32,2,1,10,7,75.0,1000.0,0.075
2026-04-03 10:19:07,Best Fit,32,2,1,1,2,75.0,1000.0,0.075
2026-04-03 10:19:07,Best Fit,32,2,1,2,6,105.0,500.0,0.21
2026-04-03 10:19:07,Best Fit,32,2,1,6,7,120.0,500.0,0.24
2026-04-03 10:19:07,Best Fit,32,2,1,12,10,30.0,1000.0,0.03
2026-04-03 10:19:07,Best Fit,32,2,1,8,7,30.0,500.0,0.06
2026-04-03 10:19:07,Best Fit,32,2,1,5,8,15.0,1000.0,0.015
2026-04-03 10:19:07,Best Fit,32,2,1,4,2,15.0,500.0,0.03
2026-04-03 10:19:07,Best Fit,32,2,1,11,10,15.0,500.0,0.03
2026-04-03 10:19:07,Best Fit,32,2,1,9,7,15.0,1000.0,0.015
2026-04-03 10:19:07,First Fit,32,2,1,3,1,165.0,250.0,0.66
2026-04-03 10:19:07,First Fit,32,2,1,1,2,405.0,1000.0,0.405
2026-04-03 10:19:07,First Fit,32,2,1,10,11,30.0,500.0,0.06
2026-04-03 10:19:07,First Fit,32,2,1,11,3,135.0,500.0,0.27
2026-04-03 10:19:07,First Fit,32,2,1,2,1,225.0,1000.0,0.225
2026-04-03 10:19:07,First Fit,32,2,1,5,4,30.0,500.0,0.06
2026-04-03 10:19:07,First Fit,32,2,1,4,2,75.0,500.0,0.15
2026-04-03 10:19:07,First Fit,32,2,1,8,11,75.0,1000.0,0.075
2026-04-03 10:19:07,First Fit,32,2,1,7,6,75.0,500.0,0.15
2026-04-03 10:19:07,First Fit,32,2,1,6,2,90.0,500.0,0.18
2026-04-03 10:19:07,First Fit,32,2,1,1,3,75.0,250.0,0.3
2026-04-03 10:19:07,First Fit,32,2,1,12,3,30.0,500.0,0.06
2026-04-03 10:19:07,First Fit,32,2,1,2,4,165.0,500.0,0.33
2026-04-03 10:19:07,First Fit,32,2,1,4,3,165.0,500.0,0.33
2026-04-03 10:19:07,First Fit,32,2,1,10,7,15.0,1000.0,0.015
2026-04-03 10:19:07,First Fit,32,2,1,3,4,15.0,500.0,0.03
2026-04-03 10:19:07,First Fit,32,2,1,9,7,15.0,1000.0,0.015
2026-04-03 10:19:07,Energy-Aware A*,32,2,1,3,1,165.0,250.0,0.66
2026-04-03 10:19:07,Energy-Aware A*,32,2,1,1,3,75.0,250.0,0.3
2026-04-03 10:19:07,Energy-Aware A*,32,2,1,10,11,45.0,500.0,0.09
2026-04-03 10:19:07,Energy-Aware A*,32,2,1,11,3,225.0,500.0,0.45
2026-04-03 10:19:07,Energy-Aware A*,32,2,1,3,11,120.0,500.0,0.24
2026-04-03 10:19:07,Energy-Aware A*,32,2,1,2,1,135.0,1000.0,0.135
2026-04-03 10:19:07,Energy-Aware A*,32,2,1,5,8,30.0,1000.0,0.03
2026-04-03 10:19:07,Energy-Aware A*,32,2,1,8,11,165.0,1000.0,0.165
2026-04-03 10:19:07,Energy-Aware A*,32,2,1,7,8,45.0,500.0,0.09
2026-04-03 10:19:07,Energy-Aware A*,32,2,1,4,3,30.0,500.0,0.06
2026-04-03 10:19:07,Energy-Aware A*,32,2,1,11,10,30.0,500.0,0.06
2026-04-03 10:19:07,Energy-Aware A*,32,2,1,3,4,30.0,500.0,0.06
2026-04-03 10:19:07,Energy-Aware A*,32,2,1,1,2,120.0,1000.0,0.12
2026-04-03 10:19:07,Energy-Aware A*,32,2,1,11,8,90.0,1000.0,0.09
2026-04-03 10:19:07,Energy-Aware A*,32,2,1,8,5,30.0,1000.0,0.03
2026-04-03 10:19:07,Energy-Aware A*,32,2,1,8,7,30.0,500.0,0.06
2026-04-03 10:19:07,Energy-Aware A*,32,2,1,12,3,30.0,500.0,0.06
2026-04-03 10:19:07,Energy-Aware A*,32,2,1,3,12,30.0,500.0,0.06
2026-04-03 10:19:07,Energy-Aware A*,32,2,1,6,2,75.0,500.0,0.15
2026-04-03 10:19:07,Energy-Aware A*,32,2,1,2,6,75.0,500.0,0.15
2026-04-03 10:19:07,Energy-Aware A*,32,2,1,9,8,15.0,1000.0,0.015
2026-04-03 10:19:07,Energy-Aware A*,32,2,1,8,9,15.0,1000.0,0.015
2026-04-03 10:19:07,MILP_Gurobi,32,2,1,11,8,45.0,1000.0,0.045
2026-04-03 10:19:07,MILP_Gurobi,32,2,1,3,11,15.0,500.0,0.03
2026-04-03 10:19:07,MILP_Gurobi,32,2,1,6,2,165.0,500.0,0.33
2026-04-03 10:19:07,MILP_Gurobi,32,2,1,2,1,255.0,1000.0,0.255
2026-04-03 10:19:07,MILP_Gurobi,32,2,1,10,7,75.0,1000.0,0.075
2026-04-03 10:19:07,MILP_Gurobi,32,2,1,7,6,120.0,500.0,0.24
2026-04-03 10:19:07,MILP_Gurobi,32,2,1,1,2,180.0,1000.0,0.18
2026-04-03 10:19:07,MILP_Gurobi,32,2,1,2,6,180.0,500.0,0.36
2026-04-03 10:19:07,MILP_Gurobi,32,2,1,5,6,30.0,500.0,0.06
2026-04-03 10:19:07,MILP_Gurobi,32,2,1,8,11,90.0,1000.0,0.09
2026-04-03 10:19:07,MILP_Gurobi,32,2,1,4,2,30.0,500.0,0.06
2026-04-03 10:19:07,MILP_Gurobi,32,2,1,12,10,30.0,1000.0,0.03
2026-04-03 10:19:07,MILP_Gurobi,32,2,1,9,8,15.0,1000.0,0.015
2026-04-03 10:19:39,A*,64,2,1,3,1,30.0,250.0,0.12
2026-04-03 10:19:39,A*,64,2,1,10,11,45.0,500.0,0.09
2026-04-03 10:19:39,A*,64,2,1,2,6,30.0,500.0,0.06
2026-04-03 10:19:39,A*,64,2,1,5,6,60.0,500.0,0.12
2026-04-03 10:19:39,A*,64,2,1,2,1,60.0,1000.0,0.06
2026-04-03 10:19:39,A*,64,2,1,8,11,120.0,1000.0,0.12
2026-04-03 10:19:39,A*,64,2,1,11,10,60.0,500.0,0.12
2026-04-03 10:19:39,A*,64,2,1,7,6,90.0,500.0,0.18
2026-04-03 10:19:39,A*,64,2,1,4,3,30.0,500.0,0.06
2026-04-03 10:19:39,A*,64,2,1,1,3,60.0,250.0,0.24
2026-04-03 10:19:39,A*,64,2,1,1,2,60.0,1000.0,0.06
2026-04-03 10:19:39,A*,64,2,1,12,10,60.0,1000.0,0.06
2026-04-03 10:19:39,A*,64,2,1,12,3,45.0,500.0,0.09
2026-04-03 10:19:39,A*,64,2,1,4,5,75.0,500.0,0.15
2026-04-03 10:19:39,A*,64,2,1,6,5,15.0,500.0,0.03
2026-04-03 10:19:39,A*,64,2,1,9,7,45.0,1000.0,0.045
2026-04-03 10:19:39,A*,64,2,1,11,8,15.0,1000.0,0.015
2026-04-03 10:19:39,A*,64,2,1,9,10,15.0,500.0,0.03
2026-04-03 10:19:39,A*,64,2,1,6,2,15.0,500.0,0.03
2026-04-03 10:19:39,A*,64,2,1,11,3,15.0,500.0,0.03
2026-04-03 10:19:39,A*,64,2,1,6,7,15.0,500.0,0.03
2026-04-03 10:19:39,ABO,64,2,1,3,11,45.0,500.0,0.09
2026-04-03 10:19:39,ABO,64,2,1,11,8,90.0,1000.0,0.09
2026-04-03 10:19:39,ABO,64,2,1,10,7,90.0,1000.0,0.09
2026-04-03 10:19:39,ABO,64,2,1,2,6,120.0,500.0,0.24
