timestamp          , method         , num_slices, num_vnfs_per_slice, seed, node, hosted_vnfs                                                                            , num_hosted_vnfs
2026-01-28 09:18:41, ABO            ,          8,                  4,    1,    5, "vnf1_1,vnf2_3,vnf4_1,vnf6_1"                                                          ,               4
2026-01-28 09:18:41, ABO            ,          8,                  4,    1,    7, "vnf3_1,vnf5_1"                                                                        ,               2
2026-01-28 09:18:41, ABO            ,          8,                  4,    1,    9, "vnf3_2,vnf4_3,vnf5_2,vnf6_3"                                                          ,               4
2026-01-28 09:18:41, ABO            ,          8,                  4,    1,    8, "vnf3_3,vnf4_2,vnf5_3,vnf6_2"                                                          ,               4
2026-01-28 09:18:41, FABO           ,          8,                  4,    1,    1, "vnf0_0,vnf3_0,vnf5_0,vnf7_0"                                                          ,               4
2026-01-28 09:18:41, FABO           ,          8,                  4,    1,    2, "vnf0_1,vnf3_1,vnf5_1,vnf7_1"                                                          ,               4
2026-01-28 09:18:41, FABO           ,          8,                  4,    1,    4, "vnf0_2,vnf6_3,vnf7_2"                                                                 ,               3
2026-01-28 09:18:41, FABO           ,          8,                  4,    1,    3, vnf0_3                                                                                 ,               1
2026-01-28 09:18:41, FABO           ,          8,                  4,    1,    5, "vnf1_0,vnf3_3,vnf6_2,vnf7_3"                                                          ,               4
2026-01-28 09:18:41, FABO           ,          8,                  4,    1,    6, "vnf1_1,vnf3_2,vnf5_2"                                                                 ,               3
2026-01-28 09:18:41, FABO           ,          8,                  4,    1,    7, "vnf1_2,vnf4_3,vnf5_3"                                                                 ,               3
2026-01-28 09:18:41, FABO           ,          8,                  4,    1,    9, "vnf1_3,vnf4_2"                                                                        ,               2
2026-01-28 09:18:41, FABO           ,          8,                  4,    1,    8, "vnf2_0,vnf4_1,vnf6_1"                                                                 ,               3
2026-01-28 09:18:41, FABO           ,          8,                  4,    1,   11, "vnf2_1,vnf4_0,vnf6_0"                                                                 ,               3
2026-01-28 09:18:41, FABO           ,          8,                  4,    1,   10, vnf2_2                                                                                 ,               1
2026-01-28 09:18:41, FABO           ,          8,                  4,    1,   12, vnf2_3                                                                                 ,               1
2026-01-28 09:18:41, Best Fit       ,          8,                  4,    1,    6, "vnf0_0,vnf1_0,vnf2_0,vnf3_0,vnf4_0,vnf5_0,vnf6_0,vnf7_0"                              ,               8
2026-01-28 09:18:41, Best Fit       ,          8,                  4,    1,    2, "vnf0_1,vnf1_1,vnf2_1,vnf3_1,vnf4_1,vnf5_1,vnf6_1,vnf7_1"                              ,               8
2026-01-28 09:18:41, Best Fit       ,          8,                  4,    1,    1, "vnf0_2,vnf1_2,vnf2_2,vnf3_2,vnf4_2,vnf5_2,vnf6_2,vnf7_2"                              ,               8
2026-01-28 09:18:41, Best Fit       ,          8,                  4,    1,    3, "vnf0_3,vnf1_3,vnf2_3,vnf3_3,vnf4_3"                                                   ,               5
2026-01-28 09:18:41, Best Fit       ,          8,                  4,    1,    4, "vnf5_3,vnf6_3,vnf7_3"                                                                 ,               3
2026-01-28 09:18:41, First Fit      ,          8,                  4,    1,    1, "vnf0_0,vnf1_0,vnf2_0,vnf3_0,vnf4_0,vnf5_0,vnf6_0,vnf7_0"                              ,               8
2026-01-28 09:18:41, First Fit      ,          8,                  4,    1,    2, "vnf0_1,vnf1_1,vnf2_1,vnf3_1,vnf4_1,vnf5_1,vnf6_1,vnf7_1"                              ,               8
2026-01-28 09:18:41, First Fit      ,          8,                  4,    1,    3, "vnf0_2,vnf1_2,vnf2_2,vnf3_2,vnf4_2,vnf5_2,vnf6_2,vnf7_2"                              ,               8
2026-01-28 09:18:41, First Fit      ,          8,                  4,    1,    4, "vnf0_3,vnf1_3,vnf2_3,vnf3_3,vnf4_3"                                                   ,               5
2026-01-28 09:18:41, First Fit      ,          8,                  4,    1,    5, "vnf5_3,vnf6_3,vnf7_3"                                                                 ,               3
2026-01-28 09:18:41, Energy-Aware A*,          8,                  4,    1,    5, "vnf0_0,vnf1_0,vnf2_0,vnf3_0,vnf4_0,vnf5_0,vnf6_0,vnf7_0"                              ,               8
2026-01-28 09:18:41, Energy-Aware A*,          8,                  4,    1,   11, "vnf0_1,vnf1_1,vnf2_1,vnf3_1,vnf4_1,vnf5_1,vnf6_1,vnf7_1"                              ,               8
2026-01-28 09:18:41, Energy-Aware A*,          8,                  4,    1,    8, "vnf0_2,vnf1_2,vnf2_2,vnf3_2,vnf4_2,vnf5_2,vnf6_2,vnf7_2"                              ,               8
2026-01-28 09:18:41, Energy-Aware A*,          8,                  4,    1,    6, "vnf0_3,vnf1_3,vnf2_3,vnf3_3,vnf4_3,vnf5_3,vnf6_3,vnf7_3"                              ,               8
2026-01-28 09:21:18, A*             ,         12,                  4,    1,    1, "vnf0_0,vnf10_0,vnf11_0,vnf1_2,vnf4_0,vnf5_0,vnf6_0,vnf8_0,vnf9_0"                     ,               9
